RINFORMATIONID	RINFID	ADMCODE	CITY	LocalPNUM	PNUMATT	Register	RTYPE	DATEOFFR	HOLIDAYR	ENGRPNUM	THIRTYONER	RPNUMBER	TIMESLOT	POV	RAREA	RULES	RIMAGE
1	1	110000	北京市	京	1	3	2	0	0	0	1	4,9;5,0;1,6;2,7;3,8	07:00-20:00	20151011-20160109	五环路以内道路(不含五环路)。	按车牌尾号工作日高峰时段区域限行的机动车车牌尾号分为五组，每13周轮换一次限行日。含临时号牌，机动车车牌(本地)尾号为英文字母的按0号管理；<br>自2015年10月11日至2016年1月9日，星期一至星期五限行机动车车牌尾号分别为:4和9、5和0、1和6、2和7、3和8。	
2	1	110000	北京市	京	1	3	2	0	0	0	1	3,8;4,9;5,0;1,6;2,7	07:00-20:00	20160110-20160410	五环路以内道路(不含五环路)。	按车牌尾号工作日高峰时段区域限行的机动车车牌尾号分为五组，每13周轮换一次限行日。含临时号牌，机动车车牌(本地)尾号为英文字母的按0号管理；<br>自2016年1月10日至2016年4月10日，星期一至星期五限行机动车车牌尾号分别为:3和8、4和9、5和0、1和6、2和7。	
3	1	110000	北京市	京	1	3	2	0	0	0	1	2,7;3,8;4,9;5,0;1,6	07:00-20:00	20160411-20160710	五环路以内道路(不含五环路)。	按车牌尾号工作日高峰时段区域限行的机动车车牌尾号分为五组，每13周轮换一次限行日。含临时号牌，机动车车牌(本地)尾号为英文字母的按0号管理；<br>)自2016年4月11日至2016年7月10日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6。	
4	1	110000	北京市	京	1	3	2	0	0	0	1	1,6;2,7;3,8;4,9;5,0	07:00-20:00	20160711-20161009	五环路以内道路(不含五环路)。	按车牌尾号工作日高峰时段区域限行的机动车车牌尾号分为五组，每13周轮换一次限行日。含临时号牌，机动车车牌(本地)尾号为英文字母的按0号管理；<br>自2016年7月11日至2016年10月9日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。	
5	1	110000	北京市	京	1	3	2	0	0	0	1	5,0;1,6;2,7;3,8;4,9	07:00-20:00	20161010-20170108	五环路以内道路(不含五环路)。	按车牌尾号工作日高峰时段区域限行的机动车车牌尾号分为五组，每13周轮换一次限行日。含临时号牌，机动车车牌(本地)尾号为英文字母的按0号管理；<br>自2016年10月10日至2017年1月8日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9。	
6	5	110000	北京市	京	2	3	2	0	0	0	1	4,9;5,0;1,6;2,7;3,8	09:00-17:00	20151011-20160109	五环路以内道路(含五环路)。	非本市进京载客汽车工作日内禁止驶入，车牌尾号轮换方式按照北京市机动车车牌尾号的轮换方式执行。<br>自2015年10月11日至2016年1月9日，星期一至星期五限行机动车车牌尾号分别为:4和9、5和0、1和6、2和7、3和8。	beijingshi02
7	5	110000	北京市	京	2	3	2	0	0	0	1	3,8;4,9;5,0;1,6;2,7	09:00-17:00	20160110-20160410	五环路以内道路(含五环路)。	非本市进京载客汽车工作日内禁止驶入，车牌尾号轮换方式按照北京市机动车车牌尾号的轮换方式执行。<br>自2016年1月10日至2016年4月10日，星期一至星期五限行机动车车牌尾号分别为:3和8、4和9、5和0、1和6、2和7。	beijingshi02
8	5	110000	北京市	京	2	3	2	0	0	0	1	2,7;3,8;4,9;5,0;1,6	09:00-17:00	20160411-20160710	五环路以内道路(含五环路)。	非本市进京载客汽车工作日内禁止驶入，车牌尾号轮换方式按照北京市机动车车牌尾号的轮换方式执行。<br>自2016年4月11日至2016年7月10日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6。	beijingshi02
9	5	110000	北京市	京	2	3	2	0	0	0	1	1,6;2,7;3,8;4,9;5,0	09:00-17:00	20160711-20161009	五环路以内道路(含五环路)。	非本市进京载客汽车工作日内禁止驶入，车牌尾号轮换方式按照北京市机动车车牌尾号的轮换方式执行。<br>自2016年7月11日至2016年10月9日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。	beijingshi02
10	5	110000	北京市	京	2	3	2	0	0	0	1	5,0;1,6;2,7;3,8;4,9	09:00-17:00	20161010-20170108	五环路以内道路(含五环路)。	非本市进京载客汽车工作日内禁止驶入，车牌尾号轮换方式按照北京市机动车车牌尾号的轮换方式执行。<br>自2016年10月10日至2017年1月8日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9。	beijingshi02
