RINFID	Administrative division code	RINFORMATION	PNUMATT
描述ID	行政区划编码	限行描述	车辆归属地限制
1	110000	本市机动车实施按车牌尾号工作日(因法定节假日放假调休而调整为上班的星期六、星期日除外)高峰时段区域限行交通管理措施。<br>限行时间为7时至20时，范围为五环路以内道路(不含五环路)。<br>按上述要求限行的机动车车牌尾号(含临时号牌)分为五组，每13周轮换一次限行日。具体如下:<br>(一)自2015年10月11日至2016年1月9日，星期一至星期五限行机动车车牌尾号分别为:4和9、5和0、1和6、2和7、3和8;<br>(二)自2016年1月10日至2016年4月10日，星期一至星期五限行机动车车牌尾号分别为:3和8、4和9、5和0、1和6、2和7。                                           <br>(三)自2016年4月11日至2016年7月10日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6。                                             <br>(四)自2016年7月11日至2016年10月9日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。                                             <br>(五)自2016年10月10日至2017年1月8日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9。	1
3	110000	工作日7时至9时、17时至20时，禁止载客汽车进入五环路(含)以内道路行驶。	2
4	110000	每天6时至22时，禁止外省、区、市核发号牌(含临时号牌)的载客汽车在以下路段通行:<br>二环路主路(全线)、长安街及延长线新兴桥(不含)至国贸桥(不含)之间路段、广场东侧路、广场西侧路、北池子大街、南池子大街、北河沿大街、南河沿大街、府右街、北长街、南长街、人大会堂西路、正义路、台基厂大街	2
5	110000	工作日(因法定节假日放假调休而调整为上班的星期六、星期日除外)9时至17时。<br>范围:五环路(含)以内道路。<br>限行的机动车按车牌尾号(含临时号牌)分为五组，每13周轮换一次限行日。具体如下:<br>(一)自2015年10月11日至2016年1月9日，星期一至星期五限行机动车车牌尾号分别为:4和9、5和0、1和6、2和7、3和8;<br>(二)自2016年1月10日至2016年4月10日，星期一至星期五限行机动车车牌尾号分别为:3和8、4和9、5和0、1和6、2和7。                                          <br>(三)自2016年4月11日至2016年7月10日，星期一至星期五限行机动车车牌尾号分别为:2和7、3和8、4和9、5和0、1和6。                                             <br>(四)自2016年7月11日至2016年10月09日，星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。                                             <br>(五)自2016年10月10日至2017年1月8日，星期一至星期五限行机动车车牌尾号分别为:5和0、1和6、2和7、3和8、4和9。	2
6	330100	机动车实施工作日(法定节假日除外)高峰时段区域“错峰限行”交通管理措施。<br>限行时间为7:00-9:00，16:30-18:30早晚高峰时段。<br>范围:留祥路-石祥路-石桥路-秋涛路-复兴路-老复兴路-虎跑路-满觉陇路-五老峰隧道-吉庆山隧道-梅灵北路-九里松隧道-灵溪南路-灵溪隧道-西溪路-紫金港路-文一西路-古墩路构成的围合区域内所有道路以及高架桥和隧道。除虎跑路、满觉陇路、五老峰隧道、吉庆山隧道、梅灵北路、九里松隧道、灵溪南路、灵溪隧道、西溪路外，其他围合道路均不含。<br>机动车在工作日按机动车号牌(含临时号牌)最后一位阿拉伯数字对应，在“错峰限行”区域内，按“错峰限行”时段禁止通行，对应的“错峰限行”机动车号牌(含临时号牌)末位数字星期一至星期五分别为:1和9、2和8、3和7、4和6、5和0。	1
7	330100	外地车在工作日(法定节假日除外)7:00-9:00，16:30-18:30在下述范围全号段禁行。<br>禁行范围:留祥路-石祥路-石桥路-秋涛路-复兴路-老复兴路-虎跑路-满觉陇路-五老峰隧道-吉庆山隧道-梅灵北路-九里松隧道-灵溪南路-灵溪隧道-西溪路-紫金港路-文一西路-古墩路构成的围合区域内所有道路以及高架桥和隧道。<br>除虎跑路、满觉陇路、五老峰隧道、吉庆山隧道、梅灵北路、九里松隧道、灵溪南路、灵溪隧道、西溪路外，其他围合道路均不含。还包括绕城高速合围区域内的其他高架道路(含匝道以及附属桥梁、隧道)。<br>以及萧山区:建设四路、通惠路、南秀路、蜀山路、晨晖路、风情大道构成的围合范围之内所有道路、高架、隧道，除晨晖路外其他围合道路均限行。	2
8	330100	所有双休日、国定节假日(双休日如遇调休，以国务院规定为准)的8:30-17:00西湖景区实行单双号限行。<br>范围:北山街-环城西路-湖滨路-南山路-玉皇山路-玉皇山隧道-南复路-凤凰山路-虎跑路-之江路-梅灵南路-梅灵隧道-梅灵北路-天竺路-灵隐支路-灵溪隧道(北至马家坞路口)-灵溪南路-灵隐路-玉古路-玉泉路-灵隐路合围区域内的道路。<br>其中，北山街(保俶路-环城西路段)、环城西路、湖滨路、南山路(解放路-万松岭路段)、南复路、凤凰山路、虎跑路(之江路-凤凰山路段)、之江路、梅灵南路(小牙坞-之江路段)不在此限制范围内。<br>凡悬挂小型车号牌(蓝牌，含个性化牌照、临时号牌)的机动车辆，其号牌最后一位阿拉伯数字与公历日单双号不一致的，禁止在实施范围内通行，即小型车号牌最后一位阿拉伯数字为1、3、5、7、9的，在奇数日通行;2、4、6、8、0的，在偶数日通行。	3
9	230100	机动车每日6时30分至19时实施单双号限行。<br>限行道路:霁虹桥、霁虹街(兴安街至霁虹桥)、经纬街(尚志大街至霁虹桥)、红军街(霁虹桥至大直街)、邮政街(海关街至果戈里大街)、一曼街(果戈里大街至鞍山街)、果戈里大街(东大直街至一曼街)、兆麟街(田地街至经纬街)。<br>机动车辆须按照车牌尾号单双日通行规定行驶，即车牌尾号最后一位阿拉伯数字为1、3、5、7、9的车辆只准许单日通行;车牌尾号最后一位阿拉伯数字为0、2、4、6、8的车辆只准许双日通行。	3
10	230100	黑A以外牌照的机动车在工作日(周一至周五)7时至9时、16时30分至18时30分在下述道路禁行。<br>禁行道路:东大直街、西大直街、和兴路(含高架桥)、三大动力路(含高架桥)、康安路(含高架桥)、河鼓高架桥(不含桥下道路)、征仪路(保健路至和兴路)、文昌高架桥(不含桥下道路)、宣化高架桥(不含桥下道路)、内环西路(安国街至文昌街，含安发桥和教化桥)、友谊路。	2
11	520100	贵阳市籍小客车专段号牌、原段号牌、长期在本市行驶的外地号牌小型客车(已登记备案)实行“尾号限行”政策。<br>工作日(周一至周五)7点至20点在贵阳市一环内(含一环)禁行。<br>星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。	3
12	520100	以贵A开头，尾数为英文字母的普通号牌，每日7:00至21:00禁止驶入贵阳市一环内(含一环)道路。	1
13	520100	长期在本市行驶的外地号牌小型客车(已登记备案)尾号为英文字母的，按“0”号管理，即星期五为停驶时间。	2
14	520100	外地车辆执行“开四停四”。<br>指非贵阳市牌照(含临时牌照)9座以下载客汽车(未登记备案)实行驶入一环内(含一环)连续行驶时间最长不得超过4天(含4天，按自然天数计算)，再次驶入须间隔4天以上。<br>因特殊情况需超过4天行驶一环路(含一环路)以内道路的，持相关证明向贵阳市公安交通管理局申请办理临时通行证后通行，临时通行证有效期最长不超过2天。<br>如遇国家法定节假日，不实施“开四停四”，节假日之后，“开四停四”清零重新计算。	2
15	220100	6时至20时，在人民广场、人民大街(新发路至卫星广场)、吉林大路(亚泰大街至东环城路)、自由大路(新民广场至东环城路)行驶的机动车按车牌尾号每月禁行三天，即车牌尾号与日期尾号相同的车辆，当日规定时段内不得驶入限行区域。如:<br>每月1日、11日和21日，车牌尾号为“1”的禁行;<br>每月2日、12日和22日，车牌尾号为“2”的禁行，其余依此类推。<br>车牌尾号为英文字母的按尾号为“4”管理，含临时号牌、外埠号牌，31日不做限制。	3
16	510100	所有“川A”及外地籍号牌号牌汽车,实行工作日(法定节假日除外)区域“尾号限行”政策。<br>限行时间:07:30-20:00。<br>限行区域:三环路(含)与二环路(含)之间区域内所有道路，含二环高架路面。<br>限行车辆按照机动车号牌(含临时号牌)的最后一位阿拉伯数字分为五组，即:<br>星期一至星期五限行机动车车牌尾号分别为:1和6、2和7、3和8、4和9、5和0。	3
