RINFORMATIONID	RINFID	ADMCODE	LocalPNUM	PNUMATT	Register	TRRT	RTYPE	DATEOFFR	HOLIDAYR	ENGRPNUM	THIRTYONER	RPNUMBER	TIMESLOT	POV	RAREA	
1	1	110000	京	1	3	1	2	0	0	0	1	4,9;5,0;1,6;2,7;3,8	07:00-20:00	20151011-20160109	五环路以内道路(不含五环路)。	
2	1	110000	京	1	3	1	2	0	0	0	1	3,8;4,9;5,0;1,6;2,7	07:00-20:00	20160110-20160410	五环路以内道路(不含五环路)。	
3	1	110000	京	1	3	1	2	0	0	0	1	2,7;3,8;4,9;5,0;1,6	07:00-20:00	20160411-20160709	五环路以内道路(不含五环路)	
4	1	110000	京	1	3	1	2	0	0	0	1	1,6;2,7;3,8;4,9;5,0	07:00-20:00	20160710-20161009	五环路以内道路(不含五环路)	
5	1	110000	京	1	3	1	2	0	0	0	1	5,0;1,6;2,7;3,8;4,9	07:00-20:00	20161010-20170108	五环路以内道路(不含五环路)	
6	5	110000	京	2	3	1	2	0	0	0	1	4,9;5,0;1,6;2,7;3,8	09:00-17:00	20151011-20160109	五环路以内道路(含五环路)。	
7	5	110000	京	2	3	1	2	0	0	0	1	3,8;4,9;5,0;1,6;2,7	09:00-17:00	20160110-20160410	五环路以内道路(含五环路)。	
8	5	110000	京	2	3	1	2	0	0	0	1	2,7;3,8;4,9;5,0;1,6	09:00-17:00	20160411-20160709	五环路以内道路(含五环路)。	
9	5	110000	京	2	3	1	2	0	0	0	1	1,6;2,7;3,8;4,9;5,0	09:00-17:00	20160710-20161009	五环路以内道路(含五环路)。	
10	5	110000	京	2	3	1	2	0	0	0	1	5,0;1,6;2,7;3,8;4,9	09:00-17:00	20161011-20170108	五环路以内道路(含五环路)。	
11	3	110000	京	2	3	1	2	0	0	0	1		07:00-09:00;17:00-20:00		五环路以内道路(含五环路)。	
12	4	110000	京	2	3	1	1	1	1	0	1		06:00-22:00		二环路主路（全线）、长安街及延长线新兴桥（不含）至国贸桥（不含）之间路段、广场东侧路、广场西侧路、北池子大街、南池子大街、北河沿大街、南河沿大街、府右街、北长街、南长街、人大会堂西路、正义路、台基厂大街	
13	6	330100	浙A	1	3	1	2	0	0	10	1	1,9;2,8;3,7;4,6;5,0	07:00-09:00;16:30-18:30		留祥路—石祥路—石桥路—秋涛路—复兴路—老复兴路—虎跑路—满觉陇路—五老峰隧道—吉庆山隧道—梅灵北路—九里松隧道—灵溪南路—灵溪隧道—西溪路—紫金港路—文一西路—古墩路构成的围合区域内所有道路以及高架桥和隧道。除虎跑路、满觉陇路、五老峰隧道、吉庆山隧道、梅灵北路、九里松隧道、灵溪南路、灵溪隧道、西溪路外，其他围合道路均不含。	
14	8	330100	浙A	3	3	1	4	0	1	10	1	0,2,4,6,8;1,3,5,7,9	08:30-17:00		西湖景区实行单双号限行，范围：北山街—环城西路—湖滨路—南山路—玉皇山路—玉皇山隧道—南复路—凤凰山路—虎跑路—之江路—梅灵南路—梅灵隧道—梅灵北路—天竺路—灵隐支路—灵溪隧道（北至马家坞路口）—灵溪南路—灵隐路—玉古路—玉泉路—灵隐路合围区域内的道路。其中，北山街（保俶路——环城西路段）、环城西路、湖滨路、南山路（解放路——万松岭路段）、南复路、凤凰山路、虎跑路（之江路——凤凰山路段）、之江路、梅灵南路（小牙坞——之江路段）不在此限制范围内。	
